id,value,color
APPLICATIONS, 0, #ffdb4d
APPLICATIONS.EDUCATION, 0, #ffaa00
APPLICATIONS.EDUCATION.UNIVERSITY, 0, #ffaa00
APPLICATIONS.EDUCATION.UNIVERSITY.TOP HAT,0.096, #ffcc66
APPLICATIONS.EDUCATION.LEARNING, 0, #ffaa00
APPLICATIONS.EDUCATION.LEARNING.KHAN ACADEMY,0, #ffeecc
APPLICATIONS.ENTERTAINMENT, 0, #bf80ff
APPLICATIONS.ENTERTAINMENT.VIDEO, 0, #bf80ff
APPLICATIONS.ENTERTAINMENT.VIDEO.YOUTUBE,18,#cc99ff
APPLICATIONS.ENTERTAINMENT.VIDEO.NETFLIX,0.18,#d9b3ff
APPLICATIONS.ENTERTAINMENT.STEAM,0,#e6ccff
APPLICATIONS.ENTERTAINMENT.ATOM,0,#f2e6ff
APPLICATIONS.FINANCE, 0, #ccff99
APPLICATIONS.FINANCE.BUDGETING, 0, #ccff99
APPLICATIONS.FINANCE.BUDGETING.BUDGIE,0,#ccffb3
APPLICATIONS.FINANCE.PC FINANCIAL,1.88,#eeffe6
APPLICATIONS.FOOD & DRINK, 0, #ff6633
APPLICATIONS.FOOD & DRINK.COUPONS, 0, #ff6633
APPLICATIONS.FOOD & DRINK.COUPONS.MCDONALDS,0.07,#ff8c66
APPLICATIONS.FOOD & DRINK.COUPONS.A&W,0,#ffc6b3
APPLICATIONS.FOOD & DRINK.POINTS, 0, #ff6633
APPLICATIONS.FOOD & DRINK.POINTS.PC PLUS,19.4,#ffece6
APPLICATIONS.GAMES, 0, #1ab2ff
APPLICATIONS.GAMES.ARCADE, 0, #1ab2ff
APPLICATIONS.GAMES.ARCADE.COOKING MAMA,0,#1ab2ff
APPLICATIONS.GAMES.ARCADE.BLOONS TOWER DEFENSE,0,#4dc3ff
APPLICATIONS.GAMES.PUZZLE, 0, #1ab2ff
APPLICATIONS.GAMES.PUZZLE.SUDOKU,0.01,#66ccff
APPLICATIONS.GAMES.PUZZLE.AQUEDUCTS,0,#80d4ff
APPLICATIONS.GAMES.ROLE PLAYING, 0, #1ab2ff
APPLICATIONS.GAMES.ROLE PLAYING.CHEF WARS,0,#99ddff
APPLICATIONS.GAMES.COLLECTOR, 0, #1ab2ff
APPLICATIONS.GAMES.COLLECTOR.ANIMALS, 0, #1ab2ff
APPLICATIONS.GAMES.COLLECTOR.ANIMALS.KLEPTO-CATS,2.82,#b3e6ff
APPLICATIONS.GAMES.COLLECTOR.ANIMALS.NEKO ATSUME,0.562,#cceeff
APPLICATIONS.GAMES.COLLECTOR.POKEMON GO,64,#e6f7ff
APPLICATIONS.GAMES.COLLECTOR.NOTICE ME SENPAI,0,#cce6ff
APPLICATIONS.GAMES.ADVENTURE, 0, #1ab2ff
APPLICATIONS.GAMES.ADVENTURE.MINECRAFT,0,#e6f2ff
APPLICATIONS.GAMES.SIMULATION, 0, #1ab2ff
APPLICATIONS.GAMES.SIMULATION.REAL-TIME, 0, #1ab2ff
APPLICATIONS.GAMES.SIMULATION.REAL-TIME.BAKERY STORY,0,#99c2ff
APPLICATIONS.GAMES.SIMULATION.REAL-TIME.DRAGON CITY,3.26,#b3d1ff
APPLICATIONS.GAMES.SIMULATION.FIRE-EMBLEM HEROES,0,#cce0ff
APPLICATIONS.GAMES.SIMULATION.THE SIMS,0,#e6f0ff
APPLICATIONS.GAMES.SIMULATION.LEGENDARY CASTLE,0,#ebebfa
APPLICATIONS.HEALTH, 0, #ff751a
APPLICATIONS.HEALTH.TRACKING, 0, #ff751a
APPLICATIONS.HEALTH.TRACKING.DIET, 0, #ff751a
APPLICATIONS.HEALTH.TRACKING.DIET.FITSUM,0,#ffa366
APPLICATIONS.HEALTH.TRACKING.STEPS, 0, #ff751a
APPLICATIONS.HEALTH.TRACKING.STEPS.FITBIT,10,#ffa366
APPLICATIONS.HEALTH.PERIOD DIARY,0.012,#ffe0cc
APPLICATIONS.SHOPPING, 0, #bf4040
APPLICATIONS.SHOPPING.CLOTHING, 0, #bf4040
APPLICATIONS.SHOPPING.CLOTHING.H&M,0,#c65353
APPLICATIONS.SHOPPING.CLOTHING.ZARA,0,#cc6666
APPLICATIONS.SHOPPING.DEALS, 0, #bf4040
APPLICATIONS.SHOPPING.DEALS.GROUPON,0,#d27979
APPLICATIONS.SHOPPING.DEALS.SPC CARD,0,#d98c8c
APPLICATIONS.SHOPPING.OTHER, 0, #bf4040
APPLICATIONS.SHOPPING.OTHER.SHOPPERS DRUG MART,0.03,#e6b3b3
APPLICATIONS.SHOPPING.OTHER.MICHAELS,0,#ecc6c6
APPLICATIONS.SHOPPING.OTHER.IKEA CATALOGUE,0,#f2d9d9
APPLICATIONS.MUSIC, 0, #ff3399
APPLICATIONS.MUSIC.SPOTIFY,0,#ff80bf
APPLICATIONS.MUSIC.GOOGLE MUSIC,26,#ffcce6
APPLICATIONS.PRODUCTIVITY, 0, #5cd65c
APPLICATIONS.PRODUCTIVITY.NOTES, 0, #5cd65c
APPLICATIONS.PRODUCTIVITY.NOTES.GOOGLE DOCS,0.45,#85e085
APPLICATIONS.PRODUCTIVITY.NOTES.MONOSPACE,0,#99e699
APPLICATIONS.PRODUCTIVITY.NOTES.KEEP,0,#c2f0c2
APPLICATIONS.PRODUCTIVITY.TO DO LIST,0.02,#d6f5d6
APPLICATIONS.SOCIAL, 0, #ff6666
APPLICATIONS.SOCIAL.MESSAGING, 0, #ff6666
APPLICATIONS.SOCIAL.MESSAGING.WHATSAPP,3.2,#ff8080
APPLICATIONS.SOCIAL.MESSAGING.LINE,56,#ff80aa
APPLICATIONS.SOCIAL.MESSAGING.FB MESSENGER,116,#ff99bb
APPLICATIONS.SOCIAL.FORUM, 0, #ff6666
APPLICATIONS.SOCIAL.FORUM.SCHOOL, 0, #ff6666
APPLICATIONS.SOCIAL.FORUM.SCHOOL.SLACK,102,#ff9999
APPLICATIONS.SOCIAL.FORUM.FRIENDS, 0, #ff6666
APPLICATIONS.SOCIAL.FORUM.FRIENDS.DISCORD,16,#ffb3cc
APPLICATIONS.SOCIAL.PHOTOS, 0, #ff6666
APPLICATIONS.SOCIAL.PHOTOS.INSTAGRAM,234,#ffccdd
APPLICATIONS.SOCIAL.PHOTOS.SNAPCHAT,273,#ffb3b3
APPLICATIONS.SOCIAL.FACEBOOK,92,#ffccf2
APPLICATIONS.SOCIAL.EMAIL, 0, #ff6666
APPLICATIONS.SOCIAL.EMAIL.OUTLOOK,1.22,#ffcccc
APPLICATIONS.SOCIAL.EMAIL.GMAIL,1.98,#ffe6e6
APPLICATIONS.WEATHER, 0, #70dbdb
APPLICATIONS.WEATHER.GOOGLE WEATHER,0.05,#c2f0f0
APPLICATIONS.OTHER, 0, #a6a6a6
APPLICATIONS.OTHER.GOOGLE, 0, #a6a6a6
APPLICATIONS.OTHER.GOOGLE.GOOGLE DRIVE,2.67,#c2d6d6
APPLICATIONS.OTHER.GOOGLE.GOOGLE PHOTOS,2.56,#d1e0e0
APPLICATIONS.OTHER.TRANSIT, 0, #a6a6a6
APPLICATIONS.OTHER.TRANSIT.CALGARY TRANSIT,24.3,#e0ebeb
APPLICATIONS.OTHER.CHROME,203,#f0f5f5